Epoch,Training Loss,Validation Loss,LR
0,0.02756509300550181,0.0013017342425882816,0.001
10,0.0001137851836766661,6.106621731305495e-05,0.001
20,5.440081403609522e-05,1.8904469470726326e-05,0.001
30,3.40114562738194e-05,1.6772630260675214e-05,0.001
40,2.3471432430545757e-05,1.4588184058084153e-05,0.001
50,1.9740431351398293e-05,4.183404234936461e-05,0.001
60,1.8295703235489477e-05,4.173441084276419e-06,0.001
70,1.5058903957684128e-05,6.926994046807522e-06,0.001
80,1.482336982988145e-05,4.00677117795567e-06,0.001
90,1.1367177658699246e-05,3.250453801229014e-06,0.001
100,1.0738813376021839e-05,5.873499503650237e-06,0.001
110,1.0161293445514397e-05,2.1903984816162847e-05,0.001
120,9.669246091000413e-06,4.601783530233661e-06,0.001
130,9.219066172227634e-06,5.855497420270694e-06,0.001
140,8.855970795688235e-06,1.151251399278408e-05,0.001
