Epoch 0, Loss: 0.02756509300550181, Validation Loss: 0.0013017342425882816, LR: 0.001
Epoch 10, Loss: 0.0001137851836766661, Validation Loss: 6.106621731305495e-05, LR: 0.001
Epoch 20, Loss: 5.440081403609522e-05, Validation Loss: 1.8904469470726326e-05, LR: 0.001
Epoch 30, Loss: 3.40114562738194e-05, Validation Loss: 1.6772630260675214e-05, LR: 0.001
Epoch 40, Loss: 2.3471432430545757e-05, Validation Loss: 1.4588184058084153e-05, LR: 0.001
Epoch 50, Loss: 1.9740431351398293e-05, Validation Loss: 4.183404234936461e-05, LR: 0.001
Epoch 60, Loss: 1.8295703235489477e-05, Validation Loss: 4.173441084276419e-06, LR: 0.001
Epoch 70, Loss: 1.5058903957684128e-05, Validation Loss: 6.926994046807522e-06, LR: 0.001
Epoch 80, Loss: 1.482336982988145e-05, Validation Loss: 4.00677117795567e-06, LR: 0.001
Epoch 90, Loss: 1.1367177658699246e-05, Validation Loss: 3.250453801229014e-06, LR: 0.001
Epoch 100, Loss: 1.0738813376021839e-05, Validation Loss: 5.873499503650237e-06, LR: 0.001
Epoch 110, Loss: 1.0161293445514397e-05, Validation Loss: 2.1903984816162847e-05, LR: 0.001
Epoch 120, Loss: 9.669246091000413e-06, Validation Loss: 4.601783530233661e-06, LR: 0.001
Epoch 130, Loss: 9.219066172227634e-06, Validation Loss: 5.855497420270694e-06, LR: 0.001
Epoch 140, Loss: 8.855970795688235e-06, Validation Loss: 1.151251399278408e-05, LR: 0.001
