Epoch,Training Loss,Validation Loss,LR
0,0.007441309684501544,0.0002745709498412907,0.001
10,2.768638621749139e-05,2.6648958737496287e-05,0.001
20,1.6086978244511734e-05,1.951078411366325e-05,0.001
30,1.1666950046634922e-05,4.270856152288616e-06,0.001
40,9.10853133385683e-06,3.5081309306406183e-06,0.001
50,8.291109637137165e-06,7.796663339831866e-06,0.001
60,7.184338526374941e-06,1.003378929453902e-05,0.001
70,6.316269612780927e-06,1.8240307326777838e-06,0.001
80,5.7466101618242716e-06,2.4349762952624587e-06,0.001
90,5.31111131339473e-06,3.0962826258473797e-06,0.001
100,5.09140700239086e-06,1.906952888930391e-06,0.001
110,4.835804595673033e-06,1.4881173910907819e-06,0.001
120,4.676291808846058e-06,5.075291483080946e-06,0.001
130,4.296760053048756e-06,1.5391159422506462e-06,0.001
140,1.627009341400243e-06,1.5178396779447212e-06,0.0005
