Epoch 0, Loss: 0.10270106365227925, Validation Loss: 0.00466503668576479, LR: 0.001
Epoch 10, Loss: 0.000506783474500803, Validation Loss: 0.0004172000044491142, LR: 0.001
Epoch 20, Loss: 0.000245765478802088, Validation Loss: 0.0001699678396107629, LR: 0.001
Epoch 30, Loss: 0.0001658409921239519, Validation Loss: 9.655216854298487e-05, LR: 0.001
Epoch 40, Loss: 0.00011053615452120859, Validation Loss: 6.918964209035039e-05, LR: 0.001
Epoch 50, Loss: 0.00011904603770431936, Validation Loss: 4.2864412534981966e-05, LR: 0.001
Epoch 60, Loss: 8.3375159630235e-05, Validation Loss: 4.271508805686608e-05, LR: 0.001
Epoch 70, Loss: 5.941352037944116e-05, Validation Loss: 0.0003872525121551007, LR: 0.001
Epoch 80, Loss: 4.679506721624604e-05, Validation Loss: 2.6240946681355126e-05, LR: 0.001
Epoch 90, Loss: 4.0245150396411984e-05, Validation Loss: 7.578736403957009e-05, LR: 0.001
Epoch 100, Loss: 3.8915080545329205e-05, Validation Loss: 1.3107502127240878e-05, LR: 0.001
Epoch 110, Loss: 3.9459071557315035e-05, Validation Loss: 2.5374189135618508e-05, LR: 0.001
Epoch 120, Loss: 3.033131287499552e-05, Validation Loss: 2.5034274585777894e-05, LR: 0.001
Epoch 130, Loss: 3.587355079464924e-05, Validation Loss: 2.658362063812092e-05, LR: 0.001
Epoch 140, Loss: 2.392939031628154e-05, Validation Loss: 1.6277732356684282e-05, LR: 0.001
