Epoch 0, Loss: 0.05317387451825754, Validation Loss: 0.0023708848748356104, LR: 0.001
Epoch 10, Loss: 0.00020252644303422, Validation Loss: 0.00031682822736911476, LR: 0.001
Epoch 20, Loss: 0.00013844374282723197, Validation Loss: 6.0862999816890806e-05, LR: 0.001
Epoch 30, Loss: 6.327724448543131e-05, Validation Loss: 8.027315197978169e-05, LR: 0.001
Epoch 40, Loss: 4.5377442491710675e-05, Validation Loss: 0.0001765981432981789, LR: 0.001
Epoch 50, Loss: 4.791764768250937e-05, Validation Loss: 0.00012832075299229473, LR: 0.001
Epoch 60, Loss: 2.7278362740183287e-05, Validation Loss: 1.0004145224229433e-05, LR: 0.001
Epoch 70, Loss: 3.652670162625556e-05, Validation Loss: 1.1988571714027785e-05, LR: 0.001
Epoch 80, Loss: 2.625706890012124e-05, Validation Loss: 2.968469198094681e-05, LR: 0.001
Epoch 90, Loss: 2.411755326346206e-05, Validation Loss: 5.686787517333869e-06, LR: 0.001
Epoch 100, Loss: 2.153279444521145e-05, Validation Loss: 8.266158147307578e-06, LR: 0.001
Epoch 110, Loss: 2.014455909663285e-05, Validation Loss: 1.3311063412402291e-05, LR: 0.001
Epoch 120, Loss: 7.235778439941919e-06, Validation Loss: 3.351069608470425e-06, LR: 0.0005
Epoch 130, Loss: 6.8846060826300375e-06, Validation Loss: 6.692329407087527e-06, LR: 0.0005
Epoch 140, Loss: 5.386375056749473e-06, Validation Loss: 4.1321768549096305e-06, LR: 0.0005
