Epoch,Training Loss,Validation Loss,LR
0,0.014202162109984037,0.0005188033683225513,0.001
10,5.4833627024831845e-05,1.9385557607165538e-05,0.001
20,2.7927450808787326e-05,2.076950841001235e-05,0.001
30,1.8555773157050383e-05,4.787094076164067e-05,0.001
40,1.4293647357354019e-05,6.015444341755938e-06,0.001
50,1.2460663192633039e-05,0.00017214340914506465,0.001
60,1.0882712845566965e-05,6.797666628699517e-06,0.001
70,9.34204078670014e-06,2.2487827209261013e-06,0.001
80,8.308130227498374e-06,2.174652991016046e-06,0.001
90,7.934693254672868e-06,8.437928045168519e-06,0.001
100,7.389647503032303e-06,4.236140284774592e-06,0.001
110,2.1187568454935246e-06,1.2903972219646676e-06,0.0005
120,2.472387911967051e-06,1.4451671859205817e-06,0.0005
130,2.201341697163332e-06,1.9833037185890134e-06,0.0005
140,2.2353659772586847e-06,2.7962619242316578e-06,0.0005
