Epoch,Training Loss,Validation Loss,LR
0,0.05317387451825754,0.0023708848748356104,0.001
10,0.00020252644303422,0.00031682822736911476,0.001
20,0.00013844374282723197,6.0862999816890806e-05,0.001
30,6.327724448543131e-05,8.027315197978169e-05,0.001
40,4.5377442491710675e-05,0.0001765981432981789,0.001
50,4.791764768250937e-05,0.00012832075299229473,0.001
60,2.7278362740183287e-05,1.0004145224229433e-05,0.001
70,3.652670162625556e-05,1.1988571714027785e-05,0.001
80,2.625706890012124e-05,2.968469198094681e-05,0.001
90,2.411755326346206e-05,5.686787517333869e-06,0.001
100,2.153279444521145e-05,8.266158147307578e-06,0.001
110,2.014455909663285e-05,1.3311063412402291e-05,0.001
120,7.235778439941919e-06,3.351069608470425e-06,0.0005
130,6.8846060826300375e-06,6.692329407087527e-06,0.0005
140,5.386375056749473e-06,4.1321768549096305e-06,0.0005
