Epoch 0, Loss: 0.014202162109984037, Validation Loss: 0.0005188033683225513, LR: 0.001
Epoch 10, Loss: 5.4833627024831845e-05, Validation Loss: 1.9385557607165538e-05, LR: 0.001
Epoch 20, Loss: 2.7927450808787326e-05, Validation Loss: 2.076950841001235e-05, LR: 0.001
Epoch 30, Loss: 1.8555773157050383e-05, Validation Loss: 4.787094076164067e-05, LR: 0.001
Epoch 40, Loss: 1.4293647357354019e-05, Validation Loss: 6.015444341755938e-06, LR: 0.001
Epoch 50, Loss: 1.2460663192633039e-05, Validation Loss: 0.00017214340914506465, LR: 0.001
Epoch 60, Loss: 1.0882712845566965e-05, Validation Loss: 6.797666628699517e-06, LR: 0.001
Epoch 70, Loss: 9.34204078670014e-06, Validation Loss: 2.2487827209261013e-06, LR: 0.001
Epoch 80, Loss: 8.308130227498374e-06, Validation Loss: 2.174652991016046e-06, LR: 0.001
Epoch 90, Loss: 7.934693254672868e-06, Validation Loss: 8.437928045168519e-06, LR: 0.001
Epoch 100, Loss: 7.389647503032303e-06, Validation Loss: 4.236140284774592e-06, LR: 0.001
Epoch 110, Loss: 2.1187568454935246e-06, Validation Loss: 1.2903972219646676e-06, LR: 0.0005
Epoch 120, Loss: 2.472387911967051e-06, Validation Loss: 1.4451671859205817e-06, LR: 0.0005
Epoch 130, Loss: 2.201341697163332e-06, Validation Loss: 1.9833037185890134e-06, LR: 0.0005
Epoch 140, Loss: 2.2353659772586847e-06, Validation Loss: 2.7962619242316578e-06, LR: 0.0005
